checking_balance,months_loan_duration,funded_amnt,total_rec_prncp,recoveries,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
unknown,12,12000,7262.01,0,critical,business,2292,< 100 DM,unemployed,4,2,42,store,own,2,management,1,yes,yes
unknown,10,5000,5000,0,good,car,1597,500 - 1000 DM,1 - 4 years,3,2,40,none,rent,1,unskilled,2,no,no
< 0 DM,24,35000,10225.16,0,good,car,1381,unknown,1 - 4 years,4,2,35,none,own,1,skilled,1,no,yes
unknown,36,1200,690.17,0,critical,car,5842,< 100 DM,> 7 years,2,2,35,none,own,2,skilled,2,yes,no
< 0 DM,12,35000,9551.03,0,good,car,2579,< 100 DM,< 1 year,4,1,33,none,own,1,unskilled,2,no,yes
< 0 DM,18,13500,13500,0,poor,education,8471,unknown,1 - 4 years,1,2,23,none,rent,2,skilled,1,yes,no
unknown,21,4000,2229.7,0,good,car,2782,500 - 1000 DM,4 - 7 years,1,2,31,bank,own,1,management,1,no,no
1 - 200 DM,18,19875,5182.17,0,good,car,1042,unknown,1 - 4 years,4,2,33,none,own,1,skilled,1,no,yes
unknown,15,7000,4130.29,0,good,car,3186,> 1000 DM,4 - 7 years,2,3,20,none,rent,1,skilled,1,no,no
1 - 200 DM,12,9975,9975,0,good,car,2028,unknown,1 - 4 years,4,2,30,none,own,1,skilled,1,no,no
1 - 200 DM,12,6000,3464.55,0,critical,car,958,< 100 DM,4 - 7 years,2,3,47,none,own,2,unskilled,2,no,no
unknown,21,6775,3997.48,0,poor,furniture/appliances,1591,100 - 500 DM,4 - 7 years,4,3,34,none,own,2,management,1,no,no
1 - 200 DM,12,5550,5550,0,good,furniture/appliances,2762,unknown,> 7 years,1,2,25,bank,own,1,skilled,1,yes,yes
1 - 200 DM,18,7000,7000,0,good,car,2779,< 100 DM,1 - 4 years,1,3,21,none,rent,1,skilled,1,yes,no
unknown,28,4275,4275,0,critical,furniture/appliances,2743,< 100 DM,> 7 years,4,2,29,none,own,2,skilled,1,no,no
unknown,18,7000,7000,0,critical,furniture/appliances,1149,> 1000 DM,1 - 4 years,4,3,46,none,own,2,skilled,1,no,no
unknown,9,16000,4139.95,0,good,furniture/appliances,1313,< 100 DM,> 7 years,1,4,20,none,own,1,skilled,1,no,no
< 0 DM,18,20000,20000,0,critical,renovations,1190,< 100 DM,unemployed,2,4,55,none,other,3,unemployed,2,no,yes
unknown,5,12500,7425.19,0,good,business,3448,< 100 DM,4 - 7 years,1,4,74,none,own,1,unskilled,1,no,no
1 - 200 DM,24,15000,15000,0,good,car0,11328,< 100 DM,1 - 4 years,2,3,29,bank,own,2,management,1,yes,yes
< 0 DM,6,12000,3380.18,0,critical,furniture/appliances,1872,< 100 DM,unemployed,4,4,36,none,other,3,management,1,yes,no
unknown,24,15000,10867.54,0,critical,renovations,2058,< 100 DM,1 - 4 years,4,2,33,none,own,2,skilled,1,yes,no
< 0 DM,9,6000,6000,0,good,furniture/appliances,2136,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,no
1 - 200 DM,12,28000,28000,0,good,furniture/appliances,1484,unknown,1 - 4 years,2,1,25,none,own,1,skilled,1,yes,yes
unknown,6,9125,9125,0,good,renovations,660,500 - 1000 DM,4 - 7 years,2,4,23,none,rent,1,unskilled,1,no,no
unknown,24,15000,14618.05,0,critical,car,1287,> 1000 DM,> 7 years,4,4,37,none,own,2,skilled,1,yes,no
< 0 DM,42,5600,3326.6,0,critical,renovations,3394,< 100 DM,unemployed,4,4,65,none,own,2,unemployed,1,no,no
> 200 DM,12,6000,3603.36,0,very good,business,609,< 100 DM,< 1 year,4,1,26,none,own,1,unemployed,1,no,yes
unknown,12,4500,2629.53,0,good,car,1884,< 100 DM,> 7 years,4,4,39,none,own,1,management,1,yes,no
< 0 DM,12,14000,8109.41,0,good,furniture/appliances,1620,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no,no
1 - 200 DM,20,4075,4075,0,poor,car0,2629,< 100 DM,1 - 4 years,2,3,29,bank,own,2,skilled,1,yes,no
unknown,12,7500,7500,0,good,education,719,< 100 DM,> 7 years,4,4,41,bank,own,1,unskilled,2,no,yes
1 - 200 DM,48,10000,6005.35,0,critical,furniture/appliances,5096,< 100 DM,1 - 4 years,2,3,30,none,own,1,management,1,yes,yes
unknown,9,4325,4325,0,critical,education,1244,unknown,> 7 years,4,4,41,none,rent,2,unskilled,1,no,no
< 0 DM,36,27000,16412.5,0,good,car,1842,< 100 DM,< 1 year,4,4,34,none,own,1,skilled,1,yes,yes
1 - 200 DM,7,8000,4706.65,0,good,furniture/appliances,2576,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no,no
> 200 DM,12,7800,4394.26,0,good,furniture/appliances,1424,unknown,> 7 years,3,4,55,none,own,1,management,1,yes,no
1 - 200 DM,15,12575,12575,0,poor,renovations,1512,> 1000 DM,1 - 4 years,3,3,61,store,own,2,skilled,1,no,yes
unknown,36,35000,20280.37,0,critical,car,11054,unknown,1 - 4 years,4,2,30,none,own,1,management,1,yes,no
unknown,6,3000,1791.1,0,good,furniture/appliances,518,< 100 DM,1 - 4 years,3,1,29,none,own,1,skilled,1,no,no
unknown,12,7000,4203.79,0,perfect,furniture/appliances,2759,< 100 DM,> 7 years,2,4,34,none,own,2,skilled,1,no,no
unknown,24,14000,14000,0,good,car,2670,< 100 DM,> 7 years,4,4,35,none,own,1,management,1,yes,no
< 0 DM,24,5000,5000,0,good,car,4817,< 100 DM,4 - 7 years,2,3,31,none,own,1,skilled,1,yes,yes
unknown,24,2975,1667.37,0,good,car,2679,< 100 DM,< 1 year,4,1,29,none,own,1,management,1,yes,no
< 0 DM,11,21950,13342.86,0,critical,car,3905,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,no
< 0 DM,12,13000,7670.51,0,good,car,3386,< 100 DM,> 7 years,3,4,35,none,other,1,skilled,1,yes,yes
< 0 DM,6,17000,10149.57,0,good,furniture/appliances,343,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,no
unknown,18,8000,8000,0,good,furniture/appliances,4594,< 100 DM,< 1 year,3,2,32,none,own,1,skilled,1,yes,no
< 0 DM,36,12000,12000,0,good,furniture/appliances,3620,< 100 DM,1 - 4 years,1,2,37,none,own,1,skilled,2,no,no
< 0 DM,15,18000,10649.03,0,good,car,1721,< 100 DM,< 1 year,2,3,36,none,own,1,skilled,1,no,no
1 - 200 DM,12,7700,4516.16,0,good,furniture/appliances,3017,< 100 DM,< 1 year,3,1,34,none,rent,1,management,1,no,no
1 - 200 DM,12,13000,7902.48,0,good,education,754,unknown,> 7 years,4,4,38,none,own,2,skilled,1,no,no
unknown,18,15000,8955.5,0,good,business,1950,< 100 DM,4 - 7 years,4,1,34,store,own,2,skilled,1,yes,no
< 0 DM,24,30000,8863.95,0,good,car,2924,< 100 DM,1 - 4 years,3,4,63,bank,own,1,skilled,2,yes,no
< 0 DM,24,8000,4804.48,0,poor,furniture/appliances,1659,< 100 DM,< 1 year,4,2,29,none,rent,1,unskilled,1,yes,yes
unknown,48,9500,5643.07,0,poor,furniture/appliances,7238,unknown,> 7 years,3,3,32,bank,own,2,skilled,2,no,no
unknown,33,5000,2874.99,0,poor,business,2764,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,yes,no
unknown,24,8000,4692.2,0,poor,car,4679,< 100 DM,4 - 7 years,3,3,35,none,own,2,unskilled,1,yes,no
1 - 200 DM,24,14025,14025,0,good,furniture/appliances,3092,100 - 500 DM,< 1 year,3,2,22,none,rent,1,skilled,1,yes,yes
< 0 DM,6,15000,9185.51,0,good,education,448,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,no,yes
< 0 DM,9,8350,8350,0,good,car,654,< 100 DM,1 - 4 years,4,3,28,none,own,1,unskilled,1,no,yes
unknown,6,10475,2950.71,0,good,education,1238,unknown,unemployed,4,4,36,none,own,1,management,2,yes,no
1 - 200 DM,18,23500,23500,0,critical,furniture/appliances,1245,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,yes
< 0 DM,18,6000,6000,0,perfect,furniture/appliances,3114,< 100 DM,< 1 year,1,4,26,none,rent,1,skilled,1,no,yes
unknown,39,10000,10000,0,good,car,2569,500 - 1000 DM,1 - 4 years,4,4,24,none,own,1,skilled,1,no,no
> 200 DM,24,20500,5539.34,0,good,furniture/appliances,5152,< 100 DM,4 - 7 years,4,2,25,bank,own,1,skilled,1,no,no
1 - 200 DM,12,12000,12000,0,good,business,1037,100 - 500 DM,4 - 7 years,3,4,39,none,own,1,unskilled,1,no,no
< 0 DM,15,15000,15000,0,critical,furniture/appliances,1478,< 100 DM,> 7 years,4,4,44,none,own,2,skilled,2,yes,no
1 - 200 DM,12,10000,10000,0,critical,furniture/appliances,3573,< 100 DM,1 - 4 years,1,1,23,none,own,1,unskilled,1,no,no
1 - 200 DM,24,4400,4400,0,good,car,1201,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no,no
< 0 DM,30,35000,9457.38,0,good,furniture/appliances,3622,> 1000 DM,> 7 years,4,4,57,none,rent,2,skilled,1,yes,no
unknown,15,12000,3618.57,0,poor,furniture/appliances,960,> 1000 DM,4 - 7 years,3,2,30,none,own,2,skilled,1,no,no
unknown,12,30375,17680.51,0,critical,car,1163,500 - 1000 DM,1 - 4 years,4,4,44,none,own,1,skilled,1,yes,no
1 - 200 DM,6,7500,4477.88,0,poor,car,1209,< 100 DM,unemployed,4,4,47,none,own,1,management,1,yes,yes
unknown,12,13200,557.56,0,good,furniture/appliances,3077,< 100 DM,1 - 4 years,2,4,52,none,own,1,skilled,1,yes,no
unknown,24,15000,15000,0,good,car,3757,< 100 DM,> 7 years,4,4,62,none,other,1,skilled,1,yes,no
unknown,10,5000,3026.03,0,good,car,1418,100 - 500 DM,1 - 4 years,3,2,35,none,rent,1,unskilled,1,no,no
unknown,6,18000,11004.81,0,good,car,3518,< 100 DM,1 - 4 years,2,3,26,none,rent,1,skilled,1,no,no
unknown,12,15000,15000,0,critical,furniture/appliances,1934,< 100 DM,> 7 years,2,2,26,none,own,2,skilled,1,no,no
1 - 200 DM,27,14000,6189.47,0,perfect,business,8318,< 100 DM,> 7 years,2,4,42,none,other,2,management,1,yes,yes
unknown,6,12000,7011.54,0,critical,furniture/appliances,1237,100 - 500 DM,1 - 4 years,1,1,27,none,own,2,skilled,1,no,no
1 - 200 DM,6,35000,9551.03,0,good,furniture/appliances,368,unknown,> 7 years,4,4,38,none,own,1,skilled,1,no,no
< 0 DM,12,13500,13500,0,critical,car,2122,< 100 DM,1 - 4 years,3,2,39,none,rent,2,unskilled,2,no,no
< 0 DM,24,18000,4911.86,0,good,furniture/appliances,2996,unknown,1 - 4 years,2,4,20,none,own,1,skilled,1,no,yes
1 - 200 DM,36,12000,7011.54,0,good,furniture/appliances,9034,100 - 500 DM,< 1 year,4,1,29,none,rent,1,management,1,yes,yes
unknown,24,3625,3625,0,critical,furniture/appliances,1585,< 100 DM,4 - 7 years,4,3,40,none,own,2,skilled,1,no,no
1 - 200 DM,18,12825,12825,0,good,furniture/appliances,1301,< 100 DM,> 7 years,4,2,32,none,own,1,unskilled,1,no,no
> 200 DM,6,14000,14000,0,critical,car,1323,100 - 500 DM,> 7 years,2,4,28,none,own,2,skilled,2,yes,no
< 0 DM,24,18000,10941.67,0,good,car,3123,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,yes
< 0 DM,36,10000,10000,0,good,car,5493,< 100 DM,> 7 years,2,4,42,none,other,1,skilled,2,no,no
> 200 DM,9,6000,3548.38,0,good,furniture/appliances,1126,100 - 500 DM,> 7 years,2,4,49,none,own,1,skilled,1,no,no
1 - 200 DM,24,10000,2921.48,0,critical,furniture/appliances,1216,100 - 500 DM,< 1 year,4,4,38,bank,own,2,skilled,2,no,yes
< 0 DM,24,14975,3668.09,0,good,car,1207,< 100 DM,< 1 year,4,4,24,none,rent,1,skilled,1,no,yes
unknown,10,17625,17625,0,good,car,1309,unknown,1 - 4 years,4,4,27,none,own,1,unskilled,1,no,yes
> 200 DM,15,31000,31000,0,critical,car,2360,500 - 1000 DM,1 - 4 years,2,2,36,none,own,1,skilled,1,yes,no
1 - 200 DM,15,14500,8530.57,0,very good,car,6850,100 - 500 DM,unemployed,1,2,34,none,own,1,management,2,yes,yes
unknown,24,10000,10000,0,good,furniture/appliances,1413,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
unknown,39,18000,9653.29,0,good,car,8588,100 - 500 DM,> 7 years,4,2,45,none,own,1,management,1,yes,no
< 0 DM,12,14000,4035.19,0,good,car,759,< 100 DM,4 - 7 years,4,2,26,none,own,1,skilled,1,no,yes
unknown,36,10000,5883.18,0,good,car,4686,< 100 DM,1 - 4 years,2,2,32,none,other,1,management,1,yes,no
> 200 DM,15,18000,8351.12,0,good,business,2687,< 100 DM,4 - 7 years,2,4,26,none,rent,1,skilled,1,yes,no
1 - 200 DM,12,9600,5630.64,0,poor,furniture/appliances,585,< 100 DM,1 - 4 years,4,4,20,none,rent,2,skilled,1,no,no
unknown,24,18000,10893.14,0,good,car,2255,unknown,< 1 year,4,1,54,none,own,1,skilled,1,no,no
< 0 DM,6,12000,3545.69,0,critical,car,609,< 100 DM,4 - 7 years,4,3,37,none,own,2,skilled,1,no,no
< 0 DM,6,18450,5390.16,0,critical,car,1361,< 100 DM,< 1 year,2,4,40,none,own,1,unskilled,2,no,no
unknown,36,20200,20200,0,critical,furniture/appliances,7127,< 100 DM,< 1 year,2,4,23,none,rent,2,skilled,1,yes,yes
< 0 DM,6,11150,2926.31,0,good,car,1203,100 - 500 DM,> 7 years,3,2,43,none,own,1,skilled,1,yes,no
unknown,6,15400,4202.39,0,critical,furniture/appliances,700,unknown,> 7 years,4,4,36,none,other,2,skilled,1,no,no
unknown,24,12500,12500,0,critical,renovations,5507,< 100 DM,> 7 years,3,4,44,none,other,2,skilled,1,no,no
< 0 DM,18,15000,4482.35,0,good,furniture/appliances,3190,< 100 DM,1 - 4 years,2,2,24,none,own,1,skilled,1,no,yes
< 0 DM,48,12575,12575,0,perfect,furniture/appliances,7119,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,yes
unknown,24,2500,1519.84,0,good,car,3488,100 - 500 DM,4 - 7 years,3,4,23,none,own,1,skilled,1,no,no
1 - 200 DM,18,8000,8000,0,good,furniture/appliances,1113,< 100 DM,1 - 4 years,4,4,26,none,own,1,unskilled,2,no,no
1 - 200 DM,26,11200,6847.58,0,good,car,7966,< 100 DM,< 1 year,2,3,30,none,own,2,skilled,1,no,no
unknown,15,8100,8100,0,critical,education,1532,100 - 500 DM,1 - 4 years,4,3,31,none,own,1,skilled,1,no,no
unknown,4,17500,9901.81,0,critical,furniture/appliances,1503,< 100 DM,4 - 7 years,2,1,42,none,own,2,unskilled,2,no,no
< 0 DM,36,5500,3303.02,0,good,furniture/appliances,2302,< 100 DM,1 - 4 years,4,4,31,none,rent,1,skilled,1,no,yes
< 0 DM,6,8400,8400,0,good,car,662,< 100 DM,< 1 year,3,4,41,none,own,1,unskilled,2,yes,no
1 - 200 DM,36,9125,4357.01,0,good,education,2273,< 100 DM,4 - 7 years,3,1,32,none,own,2,skilled,2,no,no
1 - 200 DM,15,19000,3469.47,0,good,car,2631,100 - 500 DM,1 - 4 years,2,4,28,none,rent,2,skilled,1,yes,yes
unknown,12,17000,10284.71,0,poor,car,1503,< 100 DM,1 - 4 years,4,4,41,none,rent,1,skilled,1,no,no
unknown,24,19200,5302.5,0,good,furniture/appliances,1311,100 - 500 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,yes,no
unknown,24,3500,3500,0,good,furniture/appliances,3105,unknown,< 1 year,4,2,25,none,own,2,skilled,1,no,no
> 200 DM,21,16150,3254.83,0,critical,education,2319,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,no,yes
< 0 DM,6,9025,5229.62,0,good,car,1374,unknown,unemployed,4,3,75,none,own,1,management,1,yes,no
1 - 200 DM,18,20000,20000,0,critical,furniture/appliances,3612,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,yes,no
< 0 DM,48,18500,11328.62,0,good,car,7763,< 100 DM,> 7 years,4,4,42,bank,other,1,management,1,no,yes
> 200 DM,18,16000,4727.67,0,good,furniture/appliances,3049,< 100 DM,< 1 year,1,1,45,store,own,1,unskilled,1,no,no
1 - 200 DM,12,23550,13895.23,0,good,furniture/appliances,1534,< 100 DM,< 1 year,1,1,23,none,rent,1,skilled,1,no,yes
unknown,24,10000,10000,0,poor,car,2032,< 100 DM,> 7 years,4,4,60,none,other,2,skilled,1,yes,no
< 0 DM,30,18000,2146.55,0,good,furniture/appliances,6350,unknown,> 7 years,4,4,31,none,own,1,skilled,1,no,yes
> 200 DM,18,18600,18600,0,good,furniture/appliances,2864,< 100 DM,1 - 4 years,2,1,34,none,own,1,unskilled,2,no,yes
unknown,12,25000,14707.56,0,critical,car,1255,< 100 DM,> 7 years,4,4,61,none,own,2,unskilled,1,no,no
< 0 DM,24,8000,4841.34,0,poor,car,1333,< 100 DM,unemployed,4,2,43,none,other,2,skilled,2,no,yes
unknown,24,14375,1756.74,0,critical,car,2022,< 100 DM,1 - 4 years,4,4,37,none,own,1,skilled,1,yes,no
unknown,24,5000,3002.67,0,good,furniture/appliances,1552,< 100 DM,4 - 7 years,3,1,32,bank,own,1,skilled,2,no,no
< 0 DM,12,21000,21000,0,very good,furniture/appliances,626,< 100 DM,1 - 4 years,4,4,24,bank,own,1,unskilled,1,no,yes
unknown,48,23000,23000,0,critical,car,8858,unknown,4 - 7 years,2,1,35,none,other,2,skilled,1,yes,no
unknown,12,20000,12103.35,0,critical,renovations,996,unknown,4 - 7 years,4,4,23,none,own,2,skilled,1,no,no
unknown,6,15000,15000,0,very good,furniture/appliances,1750,500 - 1000 DM,> 7 years,2,4,45,bank,own,1,unskilled,2,no,no
< 0 DM,48,17975,10415.34,0,good,furniture/appliances,6999,< 100 DM,4 - 7 years,1,1,34,none,own,2,skilled,1,yes,yes
1 - 200 DM,12,21775,13000.2,0,critical,car,1995,100 - 500 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,no
1 - 200 DM,9,20000,20000,0,good,education,1199,< 100 DM,4 - 7 years,4,4,67,none,own,2,management,1,yes,no
1 - 200 DM,12,20000,20000,0,good,furniture/appliances,1331,< 100 DM,< 1 year,2,1,22,store,own,1,skilled,1,no,yes
1 - 200 DM,18,15000,15000,0,perfect,car,2278,100 - 500 DM,< 1 year,3,3,28,none,own,2,skilled,1,no,yes
unknown,21,20000,20000,0,perfect,car,5003,unknown,1 - 4 years,1,4,29,bank,own,2,skilled,1,yes,yes
< 0 DM,24,12500,12500,0,very good,furniture/appliances,3552,< 100 DM,4 - 7 years,3,4,27,bank,own,1,skilled,1,no,yes
1 - 200 DM,18,15000,4431.98,0,critical,furniture/appliances,1928,< 100 DM,< 1 year,2,2,31,none,own,2,unskilled,1,no,yes
< 0 DM,24,10000,5768.8,0,good,car,2964,unknown,> 7 years,4,4,49,bank,other,1,skilled,2,yes,no
< 0 DM,24,12850,7857.21,0,very good,furniture/appliances,1546,< 100 DM,4 - 7 years,4,4,24,bank,rent,1,unskilled,1,no,yes
> 200 DM,6,35000,35000,0,poor,furniture/appliances,683,< 100 DM,< 1 year,2,1,29,bank,own,1,skilled,1,no,no
1 - 200 DM,36,4500,2466.08,0,good,car,12389,unknown,1 - 4 years,1,4,37,none,other,1,skilled,1,yes,yes
1 - 200 DM,24,6000,3540.21,0,poor,business,4712,unknown,1 - 4 years,4,2,37,bank,own,2,management,1,yes,no
1 - 200 DM,24,6000,6000,0,poor,furniture/appliances,1553,100 - 500 DM,4 - 7 years,3,2,23,none,rent,2,skilled,1,yes,no
< 0 DM,12,6000,3603.36,0,good,car,1372,< 100 DM,4 - 7 years,2,3,36,none,own,1,skilled,1,no,yes
unknown,24,8000,8000,0,critical,furniture/appliances,2578,> 1000 DM,> 7 years,2,2,34,none,own,1,skilled,1,no,no
1 - 200 DM,48,30000,17700.81,0,good,furniture/appliances,3979,unknown,4 - 7 years,4,1,41,none,own,2,skilled,2,yes,no
< 0 DM,48,11200,3377.35,0,good,furniture/appliances,6758,< 100 DM,1 - 4 years,3,2,31,none,own,1,skilled,1,yes,yes
< 0 DM,24,6000,3529.86,0,good,furniture/appliances,3234,< 100 DM,< 1 year,4,4,23,none,rent,1,unskilled,1,yes,yes
unknown,30,5250,5250,0,critical,furniture/appliances,5954,< 100 DM,4 - 7 years,3,2,38,none,own,1,skilled,1,no,no
unknown,24,17000,5080,0,good,car,5433,unknown,unemployed,2,4,26,none,rent,1,management,1,yes,no
< 0 DM,15,27300,16107.83,0,good,business,806,< 100 DM,1 - 4 years,4,4,22,none,own,1,unskilled,1,no,no
1 - 200 DM,9,35000,9457.38,0,good,furniture/appliances,1082,< 100 DM,> 7 years,4,4,27,none,own,2,unskilled,1,no,no
unknown,15,6000,3492.6,0,critical,furniture/appliances,2788,< 100 DM,4 - 7 years,2,3,24,bank,own,2,skilled,1,no,no
1 - 200 DM,12,35000,20790.18,0,good,furniture/appliances,2930,< 100 DM,4 - 7 years,2,1,27,none,own,1,skilled,1,no,no
unknown,24,35000,20790.18,0,critical,education,1927,unknown,1 - 4 years,3,2,33,none,own,2,skilled,1,yes,no
1 - 200 DM,36,6000,3668.44,0,critical,car,2820,< 100 DM,< 1 year,4,4,27,none,own,2,skilled,1,no,yes
unknown,24,1800,1800,0,good,education,937,< 100 DM,< 1 year,4,3,27,none,own,2,unskilled,1,no,no
1 - 200 DM,18,27000,16119.64,0,critical,car,1056,< 100 DM,> 7 years,3,3,30,bank,own,2,skilled,1,no,yes
1 - 200 DM,12,8000,4841.34,0,critical,car,3124,< 100 DM,< 1 year,1,3,49,bank,own,2,unskilled,2,no,no
unknown,9,20000,20000,0,good,furniture/appliances,1388,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no,no
1 - 200 DM,36,18000,11022.46,0,good,renovations,2384,< 100 DM,< 1 year,4,1,33,none,rent,1,unskilled,1,no,yes
unknown,12,25000,14850.13,0,good,car,2133,unknown,> 7 years,4,4,52,none,other,1,management,1,yes,no
< 0 DM,18,15875,9240.65,0,good,furniture/appliances,2039,< 100 DM,1 - 4 years,1,4,20,bank,rent,1,skilled,1,no,yes
< 0 DM,9,15000,8874.19,0,critical,car,2799,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,no
< 0 DM,12,20000,11800.53,0,good,furniture/appliances,1289,< 100 DM,1 - 4 years,4,1,21,none,own,1,unskilled,1,no,no
< 0 DM,18,10800,6353.69,0,good,furniture/appliances,1217,< 100 DM,1 - 4 years,4,3,47,none,own,1,unskilled,1,yes,yes
< 0 DM,12,12000,3505.72,0,critical,furniture/appliances,2246,< 100 DM,> 7 years,3,3,60,none,own,2,skilled,1,no,yes
< 0 DM,12,18000,11110.23,0,critical,furniture/appliances,385,< 100 DM,4 - 7 years,4,3,58,none,own,4,unskilled,1,yes,no
1 - 200 DM,24,10000,10000,0,poor,car,1965,unknown,1 - 4 years,4,4,42,none,rent,2,skilled,1,yes,no
unknown,21,26500,8060.27,0,good,business,1572,> 1000 DM,> 7 years,4,4,36,bank,own,1,unskilled,1,no,no
1 - 200 DM,24,12000,3052.43,0,good,car,2718,< 100 DM,1 - 4 years,3,4,20,none,rent,1,unskilled,1,yes,yes
< 0 DM,24,28000,28000,0,very good,car0,1358,unknown,> 7 years,4,3,40,store,own,1,management,1,yes,yes
1 - 200 DM,6,23325,23325,0,very good,car,931,100 - 500 DM,< 1 year,1,1,32,store,own,1,unskilled,1,no,yes
< 0 DM,24,8000,8000,0,good,car,1442,< 100 DM,4 - 7 years,4,4,23,none,rent,2,skilled,1,no,yes
1 - 200 DM,24,5000,5000,0,perfect,business,4241,< 100 DM,1 - 4 years,1,4,36,none,own,3,unskilled,1,yes,yes
unknown,18,23200,6331.07,0,critical,car,2775,< 100 DM,4 - 7 years,2,2,31,bank,own,2,skilled,1,no,yes
unknown,24,25000,25000,0,poor,business,3863,< 100 DM,1 - 4 years,1,2,32,none,other,1,skilled,1,no,no
1 - 200 DM,7,24000,14412.93,0,good,furniture/appliances,2329,< 100 DM,< 1 year,1,1,45,none,own,1,skilled,1,no,no
1 - 200 DM,9,5600,5600,0,good,furniture/appliances,918,< 100 DM,1 - 4 years,4,1,30,none,own,1,skilled,1,no,yes
1 - 200 DM,24,4575,4575,0,very good,education,1837,< 100 DM,4 - 7 years,4,4,34,bank,other,1,unskilled,1,no,yes
unknown,36,8300,8300,0,good,furniture/appliances,3349,< 100 DM,1 - 4 years,4,2,28,none,own,1,management,1,yes,yes
> 200 DM,10,15000,9237.88,0,good,furniture/appliances,1275,< 100 DM,< 1 year,4,2,23,none,own,1,skilled,1,no,no
< 0 DM,24,10000,6005.35,0,very good,furniture/appliances,2828,500 - 1000 DM,1 - 4 years,4,4,22,store,own,1,skilled,1,yes,no
unknown,24,30000,30000,0,critical,business,4526,< 100 DM,1 - 4 years,3,2,74,none,own,1,management,1,yes,no
1 - 200 DM,36,8000,1305.99,0,good,furniture/appliances,2671,100 - 500 DM,1 - 4 years,4,4,50,none,other,1,skilled,1,no,yes
unknown,18,14000,8472.47,0,good,furniture/appliances,2051,< 100 DM,< 1 year,4,1,33,none,own,1,skilled,1,no,no
unknown,15,25000,15193.41,0,good,car,1300,unknown,> 7 years,4,4,45,bank,other,1,skilled,2,no,no
< 0 DM,12,35000,9285.47,0,good,furniture/appliances,741,100 - 500 DM,unemployed,4,3,22,none,own,1,skilled,1,no,yes
> 200 DM,10,15000,9077.58,0,good,car,1240,100 - 500 DM,> 7 years,1,4,48,none,other,1,unskilled,2,no,yes
< 0 DM,21,12000,12000,0,good,furniture/appliances,3357,> 1000 DM,< 1 year,4,2,29,bank,own,1,skilled,1,no,no
< 0 DM,24,10575,2757.52,0,very good,car,3632,< 100 DM,1 - 4 years,1,4,22,bank,rent,1,skilled,1,no,no
unknown,18,35000,35000,0,poor,furniture/appliances,1808,< 100 DM,4 - 7 years,4,1,22,none,own,1,skilled,1,no,yes
1 - 200 DM,48,20000,12227.54,0,perfect,business,12204,unknown,1 - 4 years,2,2,48,bank,own,1,management,1,yes,no
1 - 200 DM,60,5000,5000,0,poor,furniture/appliances,9157,unknown,1 - 4 years,2,2,27,none,other,1,management,1,no,no
< 0 DM,6,10000,5749.99,0,critical,car,3676,< 100 DM,1 - 4 years,1,3,37,none,rent,3,skilled,2,no,no
1 - 200 DM,30,35000,35000,0,good,furniture/appliances,3441,100 - 500 DM,1 - 4 years,2,4,21,none,rent,1,skilled,1,no,yes
unknown,12,31300,15436.59,0,good,car,640,< 100 DM,1 - 4 years,4,2,49,none,own,1,unskilled,1,no,no
1 - 200 DM,21,15500,8949.71,0,critical,business,3652,< 100 DM,4 - 7 years,2,3,27,none,own,2,skilled,1,no,no
unknown,18,8000,8000,0,critical,car,1530,< 100 DM,1 - 4 years,3,2,32,bank,own,2,skilled,1,no,yes
unknown,48,16000,16000,0,good,business,3914,unknown,1 - 4 years,4,2,38,bank,own,1,skilled,1,no,yes
< 0 DM,12,10000,6051.8,0,good,furniture/appliances,1858,< 100 DM,< 1 year,4,1,22,none,rent,1,skilled,1,no,no
< 0 DM,18,35000,10087.58,0,good,furniture/appliances,2600,< 100 DM,1 - 4 years,4,4,65,none,other,2,skilled,1,no,yes
unknown,15,25000,25000,0,good,furniture/appliances,1979,unknown,> 7 years,4,2,35,none,own,1,skilled,1,no,no
> 200 DM,6,18000,10941.67,0,good,furniture/appliances,2116,< 100 DM,1 - 4 years,2,2,41,none,own,1,skilled,1,yes,no
